stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,zone_id
82,"3833","13th & Long Branch",35.119411,-120.615530,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=82",6
83,"3834","13th & Mentone",35.115310,-120.615841,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=83",6
84,"3835","13th & Messina",35.110747,-120.616503,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=84",6
85,"3836","13th & Belridge",35.104881,-120.616005,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=85",6
88,"3827","Elm & Fair Oaks",35.112512,-120.600436,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=88",6
89,"3840","Arroyo Grande Hospital",35.112616,-120.591185,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=89",6
90,"3841","Arroyo Grande High School",35.117010,-120.581415,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=90",6
91,"3531","Vine & 1st",35.615033,-120.692896,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=91",5
92,"3551","1st & Oak",35.615394,-120.691468,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=92",5
93,"3532","Spring & 3rd",35.617126,-120.690476,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=93",5
94,"3533","Spring & 5th",35.619445,-120.690693,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=94",5
95,"3534","North County Transit Center",35.622500,-120.688292,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=95",5
96,"3535","Cuesta College North",35.651362,-120.670910,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=96",5
97,"3536","Mission & 14th",35.752511,-120.696266,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=97",8
99,"3550","Spring & 4th",35.618703,-120.690830,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=99",5
100,"3650","Oak & 2nd",35.615832,-120.691859,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=100",5
101,"3651","Walmart Shopping Center",35.614891,-120.681550,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=101",5
102,"3652","Niblick & Nicklaus",35.615685,-120.674879,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=102",5
103,"3653","Paso Robles High School",35.615657,-120.670484,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=103",5
104,"3654","Rambouillet & Wade",35.612730,-120.669240,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=104",5
105,"3655","Rambouillet & Torrey Pines",35.606773,-120.668847,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=105",5
106,"3656","Stoney Creek Rd @ Dry Creek Apartments",35.605177,-120.660049,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=106",5
107,"3633","Stoney Creek Rd @ Dry Creek Apartments",35.605305,-120.660230,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=107",5
108,"3657","Creston & Myrtlewood",35.606426,-120.658872,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=108",5
109,"3658","Scott @ Paso Robles Senior Center",35.608415,-120.655253,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=109",5
110,"3659","Scott & Westfield",35.608426,-120.650116,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=110",5
111,"3630","Scott & Westfield",35.608554,-120.650311,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=111",5
112,"3661","Airport & Scott",35.608221,-120.643325,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=112",5
113,"3628","Airport & Scott",35.608062,-120.643608,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=113",5
114,"3662","Airport & Parkview",35.610431,-120.643956,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=114",5
115,"3663","Sherwood & Quail Run",35.615812,-120.653893,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=115",5
116,"3664","Creston & Niblick",35.616642,-120.659003,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=116",5
117,"3666","Creston & Melody",35.623327,-120.662494,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=117",5
118,"3667","Creston & Nickerson",35.625035,-120.669599,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=118",5
119,"3668","Creston & Bolen",35.627269,-120.673494,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=119",5
